iter	Passed	Remaining
407	5321	1200
408	5333	1186
409	5347	1173
410	5359	1160
411	5374	1147
412	5386	1134
413	5399	1121
414	5413	1108
415	5429	1096
416	5443	1083
417	5456	1070
418	5469	1057
419	5483	1044
420	5496	1031
421	5510	1018
422	5523	1005
423	5536	992
424	5549	979
425	5562	966
426	5574	952
427	5587	939
428	5601	927
429	5613	913
430	5626	900
431	5638	887
432	5650	874
433	5661	860
434	5674	847
435	5686	834
436	5700	821
437	5713	808
438	5724	795
439	5736	782
440	5748	769
441	5759	755
442	5770	742
443	5783	729
444	5796	716
445	5809	703
446	5821	690
447	5834	677
448	5847	664
449	5859	651
450	5871	637
451	5883	624
452	5895	611
453	5908	598
454	5921	585
455	5934	572
456	5947	559
457	5961	546
458	5973	533
459	5985	520
460	6007	508
461	6020	495
462	6033	482
463	6045	469
464	6061	456
465	6077	443
466	6091	430
467	6106	417
468	6123	404
469	6139	391
470	6155	378
471	6168	365
472	6184	353
473	6201	340
474	6216	327
475	6231	314
476	6244	301
477	6259	288
478	6275	275
479	6289	262
480	6302	248
481	6315	235
482	6328	222
483	6341	209
484	6354	196
485	6367	183
486	6380	170
487	6393	157
488	6404	144
489	6419	131
490	6432	117
491	6445	104
492	6458	91
493	6469	78
494	6482	65
495	6494	52
496	6506	39
497	6519	26
498	6532	13
499	6545	0
