iter	Logloss
425	0.3640346452
426	0.3639655417
427	0.3639116712
428	0.3638578015
429	0.3637838089
430	0.3637417023
431	0.363658692
432	0.3635995873
433	0.3635566375
434	0.3634795297
435	0.3634163363
436	0.3633576566
437	0.3632870526
438	0.3632494895
439	0.3632107285
440	0.3631499713
441	0.3631004665
442	0.3630467235
443	0.3629919263
444	0.3629677518
445	0.3629254699
446	0.362880985
447	0.3628460228
448	0.3628063868
449	0.3627757425
450	0.3627378774
451	0.3626954349
452	0.3626611465
453	0.3626308004
454	0.3625850822
455	0.3625541193
456	0.3624836904
457	0.3624077252
458	0.3623617143
459	0.3623238363
460	0.3622584136
461	0.3622234833
462	0.3621941819
463	0.3621395005
464	0.3620643599
465	0.3620232172
466	0.3619683421
467	0.3619410324
468	0.3618961915
469	0.3618303412
470	0.3618002609
471	0.3617686176
472	0.3617087056
473	0.3616520997
474	0.3616148961
475	0.3615547116
476	0.3615019092
477	0.3614501354
478	0.3613605882
479	0.3613087854
480	0.3612448383
481	0.361195872
482	0.3611450289
483	0.3611029142
484	0.3610804807
485	0.3610540929
486	0.3609900355
487	0.3609221193
488	0.3608811077
489	0.3608250797
490	0.3607644389
491	0.3607330223
492	0.3607029625
493	0.3606310532
494	0.3605988415
495	0.3605547787
496	0.36051156
497	0.3604695948
498	0.3604377534
499	0.3604012381
