iter	Logloss
0	0.6634065636
1	0.6264313735
2	0.6077107589
3	0.580953286
4	0.5664791893
5	0.5540031757
6	0.5428605227
7	0.5327844362
8	0.5232574366
9	0.5149779265
10	0.5073664209
11	0.5001842859
12	0.4934890487
13	0.4873683301
14	0.4792863118
15	0.4738174251
16	0.4692007854
17	0.4644814727
18	0.460276685
19	0.4564968501
20	0.4519736469
21	0.4485342
22	0.4455376102
23	0.4426973492
24	0.4400630002
25	0.4375350678
26	0.4351979231
27	0.4327960619
28	0.4307384977
29	0.428770232
30	0.4233307242
31	0.4202306382
32	0.4186603351
33	0.4171333851
34	0.4158286804
35	0.41446227
36	0.4132956866
37	0.4121976091
38	0.4094501883
39	0.4084495609
40	0.4073803312
41	0.405857782
42	0.404984065
43	0.404282078
44	0.4035582835
45	0.402650094
46	0.4021071296
47	0.4014528025
48	0.4006897607
49	0.4000942466
50	0.3995340248
51	0.3990035599
52	0.3984702336
53	0.3979846851
54	0.3975331135
55	0.3958997665
56	0.3955197992
57	0.39515231
58	0.3939868087
59	0.3936524233
60	0.3933335829
61	0.3930602471
62	0.3922080587
63	0.3918189671
64	0.3914787465
65	0.3907891799
66	0.3906009471
67	0.3904245969
68	0.3902070493
69	0.3887328612
70	0.3884661978
71	0.3881276955
72	0.3879922524
73	0.3875148802
74	0.3872521061
75	0.3870864997
76	0.3869781755
77	0.3867691098
78	0.3865503616
79	0.3863370212
80	0.3862346107
81	0.386072521
82	0.3858569303
83	0.3854956935
84	0.3854175591
85	0.3852482484
86	0.3850653314
87	0.3848839574
88	0.3847791861
89	0.3846002727
90	0.3844836775
91	0.3843850934
92	0.3842441723
93	0.3841442246
94	0.3840251875
95	0.3829861294
96	0.3829051285
97	0.3827615783
98	0.3824458347
99	0.3823491492
100	0.3815123284
101	0.38141133
102	0.3813004214
103	0.381220301
104	0.3811526583
105	0.3810686029
106	0.3809923346
107	0.3808675932
108	0.3807954859
109	0.3807095428
110	0.3806333929
111	0.3804965244
112	0.3804263918
113	0.3803381617
114	0.3802109585
115	0.3801564131
116	0.3800893919
117	0.3800132263
118	0.3799394188
119	0.379879761
120	0.3798103478
121	0.3792909147
122	0.3792293618
123	0.3791537086
124	0.3790584138
125	0.3786549241
126	0.3785744638
127	0.3785216409
128	0.3784623973
129	0.378344075
130	0.3782371957
131	0.3781479978
132	0.3780734685
133	0.3779937571
134	0.3778984029
135	0.3778350346
136	0.3777584078
137	0.3776802484
138	0.3775803483
139	0.3775176773
140	0.3774507955
141	0.3773663606
142	0.3772966109
143	0.3772491444
144	0.3771844696
145	0.3771129585
146	0.3770616362
147	0.3769774443
148	0.3769045989
149	0.3768342672
150	0.3767879223
151	0.3766714191
152	0.3766045926
153	0.3765631758
154	0.3765012499
155	0.3764387638
156	0.3764002442
157	0.376360247
158	0.3762934754
159	0.3762295616
160	0.3761536793
161	0.3761194783
162	0.3760587741
163	0.376024989
164	0.3759310883
165	0.3759022702
166	0.3758538475
167	0.3758115029
168	0.375768962
169	0.3757123202
170	0.3756878204
171	0.3756821074
172	0.3756211096
173	0.3755542999
174	0.3755081287
175	0.3754118485
176	0.3753469954
177	0.3751292651
178	0.3750697487
179	0.3750123797
180	0.3749610823
181	0.3748836315
182	0.3748502139
183	0.3748019309
184	0.3747578945
185	0.3747105372
186	0.374644028
187	0.3746146671
188	0.3745752769
189	0.3745305888
190	0.3744867935
191	0.3744430751
192	0.3743868538
193	0.3743396539
194	0.3742828522
195	0.374221799
196	0.3741699693
197	0.3741146022
198	0.3740704284
199	0.3740262983
200	0.3739939843
201	0.3739210973
202	0.3738823434
203	0.3738489915
204	0.3737985864
205	0.3737410801
206	0.3736932285
207	0.3736354948
208	0.373580878
209	0.3735226725
210	0.3734768736
211	0.3734347318
212	0.3733834013
213	0.3733322451
214	0.3732869231
215	0.3732432268
216	0.3731911041
217	0.3731514304
218	0.3731044358
219	0.3730800462
220	0.3730253136
221	0.3729829192
222	0.3729317387
223	0.3729112542
224	0.3728796156
225	0.3728323599
226	0.3727877607
227	0.3727309691
228	0.3726903545
229	0.3726696506
230	0.3726394392
231	0.3725990358
232	0.3725747061
233	0.3725276742
234	0.3724943589
235	0.3724322044
236	0.3723944841
237	0.3723508181
238	0.3723096754
239	0.3722875796
240	0.3722469584
241	0.372216884
242	0.3721644422
243	0.3721502016
244	0.372116312
245	0.3720762374
246	0.3720442142
247	0.3719852927
248	0.3719424944
249	0.3718968181
250	0.3718618415
251	0.371818551
252	0.3717799692
253	0.3717561588
254	0.371719546
255	0.3716613432
256	0.3714394871
257	0.3713722149
258	0.3713186029
259	0.3712472493
260	0.3712133444
261	0.3711640197
262	0.3711374854
263	0.3710873737
264	0.3710475906
265	0.3710054308
266	0.3709756226
267	0.3709525143
268	0.3709113709
269	0.3708770705
270	0.3708526733
271	0.3708093579
272	0.3707628583
273	0.3707209234
274	0.3706790209
275	0.3706518354
276	0.3706071782
277	0.370578239
278	0.370543751
279	0.3705106877
280	0.3704663437
281	0.3704276186
282	0.3703830712
283	0.3703464453
284	0.3702944029
285	0.3702517036
286	0.3701820072
287	0.3700931062
288	0.3700700115
289	0.3700234514
290	0.3700011005
291	0.3699588579
292	0.3699370639
293	0.3699099573
294	0.3698597617
295	0.3698235519
296	0.3697915919
297	0.3697548552
298	0.3697074093
299	0.3696614826
300	0.3696191695
301	0.3695956628
302	0.3695500943
303	0.3695146864
304	0.3694890866
305	0.3694486786
306	0.3694230192
307	0.3693885457
308	0.3693389499
309	0.3693041536
310	0.3692578339
311	0.3692188097
312	0.3692007749
313	0.3691476133
314	0.3690949285
315	0.3690669521
316	0.3690041842
317	0.3689580679
318	0.3689090165
319	0.368878116
320	0.3688227784
321	0.3687820847
322	0.3687492302
323	0.3687237513
324	0.3686822895
325	0.3686220112
326	0.3685778879
327	0.3685268249
328	0.3684754637
329	0.3684401795
330	0.368389094
331	0.3683476753
332	0.3682936103
333	0.3682458207
334	0.3682137352
335	0.368162527
336	0.3681104069
337	0.3680709343
338	0.3680150391
339	0.3679742405
340	0.367944509
341	0.3679034933
342	0.367854144
343	0.3678267443
344	0.3678036229
345	0.3677728518
346	0.3677231716
347	0.3676837754
348	0.3676656511
349	0.3675953183
350	0.3675570016
351	0.3675175639
352	0.3674765914
353	0.3674214868
354	0.3673773139
355	0.3672034472
356	0.3670984688
357	0.3670686877
358	0.3670251261
359	0.3669846721
360	0.3669392102
361	0.3669093899
362	0.3668826499
363	0.3668215183
364	0.3667487072
365	0.3667065403
366	0.3666662267
367	0.3666260627
368	0.3665667707
369	0.3665317334
370	0.3664798001
371	0.366434024
372	0.3663867357
373	0.3663454874
374	0.366317913
375	0.3662718426
376	0.366207711
377	0.3661624071
378	0.3661243112
379	0.3660647319
380	0.3660407741
381	0.366001368
382	0.3659582688
383	0.36591725
384	0.3658933857
385	0.3658675851
386	0.3657649716
387	0.3657296187
388	0.3656685323
389	0.3656006682
390	0.3655782916
391	0.3655340381
392	0.3654997006
393	0.3654589945
394	0.365394028
395	0.3653540542
396	0.3653099878
397	0.3652726106
398	0.3652298509
399	0.3651666442
400	0.3651172798
401	0.3650680931
402	0.3650130055
403	0.3649877802
404	0.3649532272
405	0.3648862166
406	0.3648455704
407	0.3648151155
408	0.3647863569
409	0.3647209878
410	0.3646872598
411	0.3646438105
412	0.3646153561
413	0.3645871561
414	0.364537811
415	0.3644982589
416	0.3644632885
417	0.3644000475
418	0.3643318709
419	0.3642904639
420	0.3642630159
421	0.3642143886
422	0.3641772147
423	0.3641494136
424	0.3640647489
